customer_age,job_type,marital,education,default,balance,housing_loan,personal_loan,communication_type,day_of_month,month,last_contact_duration,num_contacts_in_campaign,prev_campaign_outcome,term_deposit_subscribed
28.0,4,2,2,0,285.0,1,0,2,26,6,303.0,4.0,3,0
34.0,1,1,1,0,934.0,0,2,0,18,9,143.0,2.0,1,0
46.0,9,1,1,0,656.0,0,0,0,5,3,101.0,4.0,3,0
34.0,7,2,1,0,2.0,1,0,2,20,8,127.0,3.0,3,0
41.0,1,1,0,0,1352.0,1,0,0,13,8,49.0,2.0,3,0
65.0,5,1,0,0,2880.0,0,0,0,23,0,163.0,1.0,3,1
57.0,1,1,0,0,495.0,0,0,0,18,1,687.0,4.0,3,1
37.0,4,1,2,0,650.0,1,1,2,26,8,210.0,1.0,3,0
29.0,9,1,1,0,265.0,1,0,0,19,1,160.0,2.0,3,0
50.0,1,1,1,0,407.0,1,2,0,7,1,233.0,2.0,3,0
52.0,1,1,2,0,1779.0,0,0,0,19,9,1195.0,3.0,0,0
35.0,9,2,1,0,5212.0,1,0,0,7,8,303.0,2.0,3,0
18.0,1,2,1,0,420.0,1,0,0,16,0,478.0,1.0,3,1
50.0,4,1,1,0,4873.0,0,0,1,6,3,381.0,6.0,0,0
55.0,1,1,0,0,762.0,0,0,2,18,6,66.0,1.0,3,0
42.0,4,1,2,0,55.0,1,0,0,17,9,57.0,1.0,0,0
37.0,1,2,0,0,3.0,0,0,2,5,6,21.0,1.0,3,0
41.0,9,1,1,0,-3.0,1,0,0,16,0,138.0,1.0,0,0
41.0,7,1,1,0,-145.0,0,2,2,6,6,201.0,1.0,3,0
53.0,5,0,1,1,-204.0,0,2,2,6,6,176.0,1.0,3,0
58.0,1,1,1,0,1.0,0,2,0,22,5,138.0,2.0,3,0
70.0,5,0,0,0,479.0,0,0,0,2,5,241.0,2.0,3,1
34.0,1,1,0,0,3.0,1,0,2,21,8,49.0,2.0,3,0
31.0,4,2,2,0,3.0,1,0,2,9,8,80.0,3.0,3,0
41.0,2,1,0,0,150.0,0,0,0,20,1,75.0,2.0,3,0
34.0,7,2,1,0,1038.0,0,2,2,3,5,89.0,1.0,3,0
28.0,7,2,0,0,340.0,0,0,2,4,5,179.0,3.0,3,1
38.0,9,0,1,0,528.0,0,0,0,29,4,212.0,3.0,0,0
45.0,0,2,1,0,10390.0,1,0,0,20,9,101.0,1.0,3,0
33.0,0,2,1,0,54.0,0,0,0,29,4,399.0,1.0,3,0
25.0,8,2,2,0,192.0,0,0,0,3,0,57.0,2.0,3,0
61.0,0,1,0,0,882.0,1,0,0,30,4,113.0,5.0,0,0
37.0,4,1,1,0,0.0,0,0,0,12,1,126.0,2.0,3,0
31.0,0,1,1,0,93.0,1,0,0,18,8,145.0,2.0,2,0
20.0,3,2,1,0,649.0,1,0,0,14,8,131.0,1.0,0,0
54.0,4,1,2,0,1459.0,0,0,0,2,10,195.0,2.0,2,1
36.0,0,1,1,0,-327.0,1,0,0,29,5,117.0,8.0,3,0
64.0,5,1,0,0,50.0,0,0,0,9,11,162.0,3.0,2,1
30.0,6,1,1,0,580.0,1,0,0,13,10,834.0,1.0,0,0
32.0,6,0,1,0,96.0,1,0,2,17,6,83.0,10.0,3,0
32.0,4,1,2,0,85.0,0,0,2,14,8,82.0,6.0,3,0
34.0,1,1,1,0,365.0,1,2,0,20,0,44.0,2.0,3,0
48.0,2,1,2,0,358.0,1,0,2,27,8,94.0,5.0,3,0
29.0,4,2,2,0,50.0,0,2,0,31,5,17.0,17.0,3,0
45.0,9,1,1,0,1672.0,0,0,0,23,10,79.0,1.0,3,0
29.0,1,1,0,0,-334.0,0,0,0,10,5,136.0,6.0,3,0
42.0,0,2,1,0,-495.0,1,2,2,23,8,131.0,1.0,3,0
